,,,,LUCAS spade sampling method,,,,,,,,,,,,Gouge auger sampling method,,,,,,,,,,,,
Sampling location,GPS_LONG,GPS_ LAT,Land cover,Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",
31,6.6173,46.6570,cropland,53034,28,44,27,13.6,0,1.8,25.4,189.6,6.86,6.5,12.3,53194,28,44,28,14.1,0,1.8,32.6,144.6,6.74,6.4,13.4,
32,8.2354,46.6957,meadow,53035,9,45,45,41.8,0,5,42.1,98.3,4.84,4.6,50,53195,10,44,47,29.2,0,3.6,30.7,76.7,5.18,4.9,34.8,
33,8.2898,46.6688,pasture,53036,12,50,38,69.9,0,6.2,41.9,147.8,4.49,4,29.9,53196,13,50,37,51.2,0,4.6,27.5,92.5,4.38,4,26.5,
34,6.3033,46.6647,meadow,53037,20,53,28,51.7,410,5.4,35.2,92.7,7.71,7.3,47.9,53197,19,57,24,54.8,390,6.8,53,110.2,7.32,7.1,62.6,
35,9.4629,46.7268,meadow,53038,16,64,21,41.1,103,5.6,15.2,76.9,7.52,7.2,55.5,53198,17,67,16,43.7,76,5.8,16.6,65.8,7.23,7.2,57.8,
36,6.4311,46.7050,coniferous forest,53039,26,54,20,51.1,0,3.5,8.6,103.8,5.55,5.2,23.1,53199,27,52,21,44.4,0,3.4,10.1,79.7,5.71,5.4,21.7,
37,7.8443,46.7075,pasture,53040,32,56,13,35.8,0,4,6.1,100,5.82,5.5,27.3,53200,33,55,13,34.4,3,4,8.4,83,6.56,6.3,26.8,
38,8.2090,46.7296,meadow,53041,19,58,23,48.1,11,6.2,14.9,94.5,6.95,6.7,51,53201,23,57,21,42.3,17,5.5,13.6,77.1,7.12,7,42.4,
39,8.6453,46.7387,pasture,53042,7,42,52,40.8,0,4,27.4,96.2,4.67,4.4,48.1,53202,7,45,47,48.1,0,4.9,35.9,87,4.7,4.4,53.1,
40,6.3528,46.7024,meadow,53043,25,62,12,70.3,95,7.7,12.2,178.5,7.35,7.1,54.2,53203,26,61,13,77.3,98,8.4,19.2,199.5,7.28,7.1,64.3,
41,6.7183,46.7142,cropland,53044,20,34,46,8.9,0,1.1,50.6,185.4,5.45,5,15.2,53204,22,33,46,8.5,0,1.1,59.4,139.4,5.63,5.2,15.7,
42,7.7109,46.7398,pasture,53046,16,50,35,39.5,0,3.8,18.2,87,5.17,4.8,32.1,53206,16,50,34,39.6,1,3.9,25.6,124.5,5.26,5,41.2,
43,8.6770,46.7919,mixed forest,53047,12,56,32,93.4,358,7.2,21.2,85.8,7.28,7.2,46.4,53207,14,55,31,128.5,280,8,21.6,87,7.15,7.1,64.1,
44,7.2639,46.7835,meadow,53048,13,51,36,40.6,1,4.6,62,217.3,6.19,6,69.1,53208,14,53,33,34.9,0,4.2,49.4,137.8,6.04,5.8,60.5,
45,7.3153,46.8028,coniferous forest,53049,9,38,53,113.2,1,7.4,44.4,78.7,3.98,3.3,13.2,53209,15,40,45,46.1,0,2.6,30.2,70.6,4.34,3.7,6.7,
46,6.7676,46.8057,deciduous forest,53050,11,49,40,31.7,93,3.1,10.5,89.9,7.44,7.1,26.5,53210,12,51,37,24.3,95,2.6,7.6,80.6,7.23,7.1,28.5,
47,6.8958,46.8105,cropland,53051,19,41,40,10.5,0,1.5,44.4,153.9,4.97,4.6,19.3,53211,18,40,42,9.1,0,1.3,47.6,108.9,4.86,4.5,18.8,
48,8.1520,46.8385,deciduous forest,53052,14,44,42,31.1,49,3.1,33.7,113.4,7.61,7.3,43.3,53212,14,46,40,32.3,42,3.5,47.1,97.8,7.08,7,58.1,
49,8.1259,46.8379,meadow,53053,25,56,18,42.8,1,4.9,21.5,120,4.79,4.5,40.7,53213,25,56,19,43.1,0,4.8,17.4,97.8,4.74,4.4,29.5,
50,7.2088,46.8361,cropland,53054,15,40,45,16.6,0,2,28.3,186,5.68,5.2,18.7,53214,15,39,46,17.1,1,2.1,32.4,149.4,5.51,5.1,19.9,
51,7.5229,46.8438,deciduous forest,53055,13,38,49,51.7,405,2.6,17.8,105.5,7.55,7.3,45.1,53215,12,36,52,33.5,421,2.8,15.5,84.2,7.35,7,42.6,
52,9.4362,46.7271,cropland,53056,19,70,11,15.6,46,1.9,55.4,199.4,8.14,7.6,28.9,53216,19,69,12,15.7,44,1.9,49.4,217.9,8.01,7.5,34.1,
53,10.4562,46.8712,coniferous forest,53057,13,56,31,107.9,102,6.2,26.5,88.5,7.39,7.2,90.8,53217,11,56,33,122.2,51,6.5,20.2,75.3,7.16,7,86.3,
54,6.8675,46.8448,cropland,53058,20,46,34,13.9,3,1.8,82.1,131.1,7.06,6.7,15.6,53218,20,46,34,13.5,1,1.8,80.6,108.7,6.51,6.3,15.1,
55,7.9674,46.8711,coniferous forest,53059,21,54,25,53.2,0,3.9,0,109.1,6.52,6.2,34.1,53219,21,58,21,52.2,1,4.1,5.7,96.8,6.38,6.3,41.4,
56,8.2032,46.8752,meadow,53060,18,50,32,42.4,0,4.9,71.6,127.8,6.11,5.8,41.3,53220,18,53,29,44.3,1,5.3,71.5,127.7,6.12,6,56.8,
57,7.7308,46.8846,cropland,53061,27,53,20,23.5,1,3,108.7,293.3,4.95,4.6,42.5,53221,28,54,19,24.9,1,3.1,112.9,400.3,4.79,4.6,55.1,
58,9.6971,46.9078,coniferous forest,53062,9,54,37,118,249,5.3,20.7,99.8,7.46,7.2,72.9,53222,10,60,30,75.6,254,4.5,18.8,53.9,7.3,7.1,63.4,
59,7.2059,46.8901,cropland,53063,30,47,23,21.3,20,2.6,19.8,107.3,7.9,7.5,19.9,53223,30,47,23,21.4,24,2.9,15.6,101.3,7.66,7.3,20.2,
60,8.5546,46.8896,pasture,53064,17,65,18,85.7,125,8.8,19.7,154.2,7.31,7.1,85.5,53224,16,61,23,104.5,68,10.9,32,186,7.01,6.9,108.9,
61,8.5223,46.8957,pasture,53065,22,64,13,53.2,5,6.5,12.8,144,5.36,5.1,72,53225,22,63,15,57,1,6.7,16.5,213.6,5.44,5.2,63.7,
